,index,dhlabid,urn,title,authors,nettbiblioteket,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype,ocr_creator,ocr_timestamp
0,6,300032882,URN:NBN:no-nb_digitidsskrift_2019011881235_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1891 Vol . 5,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019011881235_001,oai:urn.nb.no:no-nb_digitidsskrift_2019011881235_001,164b205aa664b45f4fcbf8bdcdf52ec4,,Christiania,18910101,1891,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
1,7,300032883,URN:NBN:no-nb_digitidsskrift_2019011881236_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1892 Vol . 6,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019011881236_001,oai:urn.nb.no:no-nb_digitidsskrift_2019011881236_001,92f5294adb99764c415b0acb79868bac,,Christiania,18920101,1892,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
2,52,300032884,URN:NBN:no-nb_digitidsskrift_2019011881241_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1893 Vol . 7,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019011881241_001,oai:urn.nb.no:no-nb_digitidsskrift_2019011881241_001,123d6855d91e7d6e724c71fe400d91fc,,Christiania,18930101,1893,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
3,46,300032885,URN:NBN:no-nb_digitidsskrift_2019011881242_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1894 Vol . 8,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019011881242_001,oai:urn.nb.no:no-nb_digitidsskrift_2019011881242_001,77f32f2359f6b7a0cb69b07b18fd54af,,Christiania,18940101,1894,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
4,69,300041848,URN:NBN:no-nb_digitidsskrift_2019011881244_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1901 Vol . 15,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019011881244_001,oai:urn.nb.no:no-nb_digitidsskrift_2019011881244_001,6d6c1f6a13b63bc54e0153a0d9563080,,Christiania,19010101,1901,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
5,42,300044296,URN:NBN:no-nb_digitidsskrift_2019011881245_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1902 Vol . 16,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019011881245_001,oai:urn.nb.no:no-nb_digitidsskrift_2019011881245_001,4c68a992ffb5ee5d286a0bf36c54b549,,Christiania,19020101,1902,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
6,32,300032886,URN:NBN:no-nb_digitidsskrift_2019011881246_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1903 Vol . 17,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019011881246_001,oai:urn.nb.no:no-nb_digitidsskrift_2019011881246_001,73dfe4c85cf908d7c5fec1a58e54ce74,,Christiania,19030101,1903,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
7,74,300054916,URN:NBN:no-nb_digitidsskrift_2019011881248_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1904 Vol . 18,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019011881248_001,oai:urn.nb.no:no-nb_digitidsskrift_2019011881248_001,e90a3ab2ee252be41c8661c20ed02242,,Christiania,19040101,1904,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
8,54,300032887,URN:NBN:no-nb_digitidsskrift_2019011881249_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1905 Vol . 19,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019011881249_001,oai:urn.nb.no:no-nb_digitidsskrift_2019011881249_001,6752482be9278bbfb3351e883a7934c9,,Christiania,19050101,1905,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
9,43,300044297,URN:NBN:no-nb_digitidsskrift_2019011881271_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1895 Vol . 9,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019011881271_001,oai:urn.nb.no:no-nb_digitidsskrift_2019011881271_001,44d5339de5ba2731d6b45fe047758654,,Christiania,18950101,1895,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
